insult,badword_count,rep_count,negword_count,posword_count,comment,caps_count
dummy_label,0,0,3,3,"a the drudge report you won't see this story on foxa forum because they suck blacks and gay obama all the way to the crack. on tuesday rep. darrell ssa, chairman of the house committee on oversight and government reform, took a major step toward holding attorney general eric holder in contempt of congress for his failure to provide subpoenaed documents and other information about operation fast and furious. in a jan. of letter, issa had threatened holder with such a move if he failed to provide all the subpoenaed documents relating to the fast and furious gunwalking scandal by feb. . that deadline has come and gone, and holder s department of justice still hasn t provided most of those documents. issa s subpoena dates back to oct. , 2011. on tuesday in a seven-page letter, issa revealed that deputy attorney general james cole begged congress to extend the feb. a deadline. issa wrote that the request was ironic and ignores the reality that the department has unreasonably delayed producing these documents to the committee. on its face, the requested extension demonstrates a lack of good faith, issa wrote to holder. with one exception, the department has only produced documents responsive to the subpoena on the eve of congressional hearings in which senior department officials testified. the department appears to be more concerned with protecting its image through spin control than actually cooperating with congress. we cannot wait any longer for the department s cooperation, issa continued. as such, please specify a date by which you expect the department to produce all documents responsive to the subpoena. in addition, please specify a department representative who will interface with the committee for production purposes. issa added that whoever holder designates as the go-to doj official for delivering subpoenaed documents should also serve as the conduit for dealing with the contempt proceedings, should the department continue to ignore the committee s subpoena. related full coverage of eric holder the california republican slammed holder, too, for claiming the congressional investigation into fast and furious was a political game for republicans. read more http dailycaller.com 2012 of of issa-takes-step-toward-holding-holder-in-contempt-of-congress ixzz1mqnf3g00 a",3
dummy_label,3,0,0,2,"a ian roger clemens is the xxbdWrdxx man, and never did any xxbdWrdxx steroids because he is xxbdWrdxx awesome. did you all misremembered roger's incredibleness? - roger clemens a",3
dummy_label,0,1,2,0,"a agree with alan you are an extremist idiot. you are not american, we native americans are, you are an alien a",2
dummy_label,1,0,2,1,"a really? i see marc lamont hill on various programs quite often, as is al sharpton, and michael moore even got his fat-xxbdWrdxx handed to him by bill o'reilly. how can you talk about a subject you obviously know nothing about? a",3
dummy_label,0,0,2,1,"a really suck isn't the word, when many of our nuclear power plants start melting down, it will literally be hell on earth in the us and we have no one else to blame but our own corrupt government! a",3
dummy_label,0,1,1,1,a .after a couple guys like him rape him first. a,0
dummy_label,0,1,1,1,a matthews mentored perry at usc. bodes well. a,3
dummy_label,0,0,0,1,a how about we accept facts and patiently wait for you to back up your claim. a,1
dummy_label,0,0,2,2,a to engage in an intelligent debate with you is like debating to a retarded person. it's useless. it looks like you're bent on disregarding the efforts of the government. a,2
dummy_label,0,0,1,1,"a same reason no one cared obama did cocaine, which is a felony as well. a",1
dummy_label,0,1,2,2,"a well, kris, you might just be surprised. can you say reagan democrats? romney has a grasp of reality and the economy and the real world business experience to know what is needed to pull america out of the ditch and back on the highway of economic growth and lowering the national debt of which obama has contributed more in a a a years than gw bush did in a years. unemployment is over a and gdp is less than a and obama says the economy is doing just fine. he is in way over his hear.it's called the peter principle. and no, that's not a dirty wordbook it up . a",3
dummy_label,0,0,2,1,a in reality gwb put more people on food stamps because of his 100 failed economic policies a,2
dummy_label,0,0,1,0,a because the zionists will blow us up if we don't at least try! a,0
dummy_label,0,0,2,2,a thank you. unfortunately on this kindle i'm limited on how far back i can go. a,2
